name, time, value
rand-6-40-320-20.77.ssat, -, -
rand-6-40-320-20.78.ssat, -, -
rand-6-40-320-20.79.ssat, -, -
rand-6-40-320-20.80.ssat, -, -
rand-6-50-250-25.81.ssat, -, -
rand-6-50-250-25.82.ssat, -, -
rand-6-50-250-25.83.ssat, -, -
rand-6-50-250-25.84.ssat, -, -
rand-6-50-250-25.85.ssat, -, -
rand-6-50-300-25.86.ssat, -, -
rand-6-50-300-25.87.ssat, -, -
rand-6-50-300-25.88.ssat, -, -
rand-6-50-300-25.89.ssat, -, -
rand-6-50-300-25.90.ssat, -, -
rand-6-50-350-25.91.ssat, -, -
rand-6-50-350-25.92.ssat, -, -
rand-6-50-350-25.93.ssat, -, -
rand-6-50-350-25.94.ssat, -, -
rand-6-50-350-25.95.ssat, -, -
rand-6-50-400-25.100.ssat, -, -
rand-6-50-400-25.96.ssat, -, -
rand-6-50-400-25.97.ssat, -, -
rand-6-50-400-25.98.ssat, -, -
rand-6-50-400-25.99.ssat, -, -
rand-7-10-60-5.1.ssat, 0.00123501, 0.981258
rand-7-10-60-5.2.ssat, 0.00152516, 0.905456
rand-7-10-60-5.3.ssat, 0.00125194, 0.907483
rand-7-10-60-5.4.ssat, 0.00105906, 0.956281
rand-7-10-60-5.5.ssat, 0.00148582, 0.821236
rand-7-10-70-5.10.ssat, 0.00164104, 0.913753
rand-7-10-70-5.6.ssat, 0.00185204, 0.867274
rand-7-10-70-5.7.ssat, 0.00177789, 0.901946
rand-7-10-70-5.8.ssat, 0.00169897, 0.814301
rand-7-10-70-5.9.ssat, 0.00166702, 0.825186
rand-7-10-80-5.11.ssat, 0.00195503, 0.781027
rand-7-10-80-5.12.ssat, 0.0017941, 0.821236
rand-7-10-80-5.13.ssat, 0.00189304, 0.76922
rand-7-10-80-5.14.ssat, 0.00184989, 0.857787
rand-7-10-80-5.15.ssat, 0.00181293, 0.801131
rand-7-10-90-5.16.ssat, 0.00213599, 0.906819
rand-7-10-90-5.17.ssat, 0.00222611, 0.789324
rand-7-10-90-5.18.ssat, 0.00196195, 0.84761
rand-7-10-90-5.19.ssat, 0.00212908, 0.756455
rand-7-10-90-5.20.ssat, 0.0020318, 0.881842
rand-7-20-120-10.21.ssat, 0.116865, 0.815635
rand-7-20-120-10.22.ssat, 0.110956, 0.929083
rand-7-20-120-10.23.ssat, 0.116677, 0.851627
rand-7-20-120-10.24.ssat, 0.100985, 0.803054
rand-7-20-120-10.25.ssat, 0.0915511, 0.90616
rand-7-20-140-10.26.ssat, 0.138611, 0.777617
rand-7-20-140-10.27.ssat, 0.148316, 0.817793
rand-7-20-140-10.28.ssat, 0.170015, 0.796073
rand-7-20-140-10.29.ssat, 0.166329, 0.66436
rand-7-20-140-10.30.ssat, 0.148887, 0.793016
rand-7-20-160-10.31.ssat, 0.225794, 0.795176
rand-7-20-160-10.32.ssat, 0.242435, 0.675811
rand-7-20-160-10.33.ssat, 0.171103, 0.771442
