benchmark	our_p	dcs_p	our_t	dcs_t
rand-4-50-300-25.196.sdimacs	1.927137e-03	0.00192714	9.78	2.00876
rand-4-50-300-25.197.sdimacs	5.829334e-03	0.00582933	26.71	4.75496
rand-4-50-300-25.198.sdimacs	4.379869e-03	0.00437984	21.64	4.42772
rand-4-50-300-25.199.sdimacs	3.063202e-03	0.0030632	13.65	3.16553
rand-5-10-40-5.100.sdimacs	1.000000e+00	1	0.00	0.000320911
rand-5-10-40-5.101.sdimacs	1.000000e+00	1	0.00	0.000340939
rand-5-10-40-5.102.sdimacs	9.687500e-01	0.96875	0.00	0.000352144
rand-5-10-40-5.103.sdimacs	1.000000e+00	1	0.00	0.000422955
rand-5-10-40-5.104.sdimacs	1.000000e+00	1	0.00	0.00048399
rand-5-10-50-5.105.sdimacs	8.125000e-01	0.8125	0.00	0.00050211
rand-5-10-50-5.106.sdimacs	9.687500e-01	0.96875	0.00	0.00069499
rand-5-10-50-5.107.sdimacs	1.000000e+00	1	0.00	0.000488997
rand-5-10-50-5.108.sdimacs	9.375000e-01	0.9375	0.00	0.000487089
rand-5-10-50-5.109.sdimacs	9.375000e-01	0.9375	0.00	0.000560999
rand-5-10-60-5.110.sdimacs	9.375000e-01	0.9375	0.00	0.00061202
rand-5-10-60-5.111.sdimacs	8.125000e-01	0.8125	0.00	0.000608921
rand-5-10-60-5.112.sdimacs	9.375000e-01	0.9375	0.00	0.000660181
rand-5-10-60-5.113.sdimacs	8.750000e-01	0.875	0.00	0.000559092
rand-5-10-60-5.114.sdimacs	9.375000e-01	0.9375	0.00	0.000625849
rand-5-10-70-5.115.sdimacs	8.437500e-01	0.84375	0.00	0.000718832
rand-5-10-70-5.116.sdimacs	8.125000e-01	0.8125	0.00	0.000726938
rand-5-10-70-5.117.sdimacs	8.125000e-01	0.8125	0.00	0.000691891
rand-5-10-70-5.118.sdimacs	8.125000e-01	0.8125	0.00	0.000689983
rand-5-10-70-5.119.sdimacs	6.875000e-01	0.6875	0.00	0.000533104
rand-5-20-100-10.125.sdimacs	9.394531e-01	0.939453	0.01	0.0237291
rand-5-20-100-10.126.sdimacs	8.613281e-01	0.861328	0.01	0.030791
rand-5-20-100-10.127.sdimacs	8.896484e-01	0.889648	0.01	0.017828
rand-5-20-100-10.128.sdimacs	9.189453e-01	0.918945	0.01	0.011277
rand-5-20-100-10.129.sdimacs	8.857422e-01	0.885742	0.01	0.017503
rand-5-20-120-10.130.sdimacs	7.646484e-01	0.764648	0.01	0.017437
rand-5-20-120-10.131.sdimacs	7.929688e-01	0.792969	0.01	0.0171669
rand-5-20-120-10.132.sdimacs	7.792969e-01	0.779297	0.01	0.018394
rand-5-20-120-10.133.sdimacs	8.193359e-01	0.819336	0.01	0.0173981
rand-5-20-120-10.134.sdimacs	8.095703e-01	0.80957	0.01	0.016232
rand-5-20-140-10.135.sdimacs	7.158203e-01	0.71582	0.02	0.0163321
rand-5-20-140-10.136.sdimacs	7.246094e-01	0.724609	0.01	0.0267761
rand-5-20-140-10.137.sdimacs	7.656250e-01	0.765625	0.02	0.0220101
rand-5-20-140-10.138.sdimacs	8.291016e-01	0.829102	0.01	0.0230319
rand-5-20-140-10.139.sdimacs	6.328125e-01	0.632812	0.02	0.016844
rand-5-20-80-10.120.sdimacs	9.326172e-01	0.932617	0.01	0.00956202
rand-5-20-80-10.121.sdimacs	8.457031e-01	0.845703	0.01	0.00771999
rand-5-20-80-10.122.sdimacs	9.492188e-01	0.949219	0.01	0.011296
rand-5-20-80-10.123.sdimacs	9.931641e-01	0.993164	0.01	0.0179348
rand-5-20-80-10.124.sdimacs	8.505859e-01	0.850586	0.01	0.0108991
rand-5-30-120-15.140.sdimacs	7.901611e-01	0.790161	0.04	0.378663
rand-5-30-120-15.141.sdimacs	8.679810e-01	0.867981	0.05	0.438057
rand-5-30-120-15.142.sdimacs	9.292297e-01	0.92923	0.04	0.712616
rand-5-30-120-15.143.sdimacs	8.672180e-01	0.867218	0.05	0.332216
rand-5-30-120-15.144.sdimacs	8.887329e-01	0.888733	0.05	0.413132
rand-5-30-150-15.145.sdimacs	8.363342e-01	0.836334	0.09	1.20705
rand-5-30-150-15.146.sdimacs	7.895508e-01	0.789551	0.07	0.710338
rand-5-30-150-15.147.sdimacs	7.925720e-01	0.792572	0.07	0.526397
rand-5-30-150-15.148.sdimacs	8.106384e-01	0.810638	0.10	0.554589
rand-5-30-150-15.149.sdimacs	8.666992e-01	0.866699	0.08	0.979293
rand-5-30-180-15.150.sdimacs	7.963257e-01	0.796326	0.16	1.27506
rand-5-30-180-15.151.sdimacs	7.556763e-01	0.755676	0.19	1.0025
rand-5-30-180-15.152.sdimacs	6.402893e-01	0.640289	0.15	0.75327
rand-5-30-180-15.153.sdimacs	6.116638e-01	0.611664	0.22	0.515193
rand-5-30-180-15.154.sdimacs	7.668457e-01	0.766846	0.13	1.06265
rand-5-30-210-15.155.sdimacs	6.806946e-01	0.680695	0.36	1.16032
rand-5-30-210-15.156.sdimacs	6.613159e-01	0.661316	0.38	0.927009
rand-5-30-210-15.157.sdimacs	5.677185e-01	0.567719	0.38	0.792714
rand-5-30-210-15.158.sdimacs	7.288208e-01	0.728821	0.33	1.69388
rand-5-30-210-15.159.sdimacs	7.388306e-01	0.738831	0.25	1.5847
rand-5-40-160-20.160.sdimacs	8.206272e-01	0.820627	0.89	19.9428
rand-5-40-160-20.161.sdimacs	8.863068e-01	0.886307	0.35	24.9867
rand-5-40-160-20.162.sdimacs	8.685894e-01	0.868589	0.67	38.105
rand-5-40-160-20.163.sdimacs	8.274441e-01	0.827444	0.62	12.0984
rand-5-40-160-20.164.sdimacs	8.090239e-01	0.809024	1.07	13.094
rand-5-40-200-20.165.sdimacs	7.092543e-01	0.709254	3.47	29.2684
rand-5-40-200-20.166.sdimacs	7.504740e-01	0.750474	5.59	44.6927
rand-5-40-200-20.167.sdimacs	7.503271e-01	0.750327	2.38	59.6542
rand-5-40-200-20.168.sdimacs	6.795177e-01	0.679518	3.41	32.6252
rand-5-40-200-20.169.sdimacs	7.086020e-01	0.708602	3.13	74.801
rand-5-40-240-20.170.sdimacs	6.923542e-01	0.692354	14.70	51.3028
rand-5-40-240-20.171.sdimacs	6.910706e-01	0.691071	12.30	55.2905
rand-5-40-240-20.172.sdimacs	7.458715e-01	0.745872	8.26	81.3968
rand-5-40-240-20.173.sdimacs	6.694975e-01	0.669497	17.05	43.6159
rand-5-40-240-20.174.sdimacs	6.119194e-01	0.611919	10.74	45.5742
rand-5-40-280-20.175.sdimacs	4.603281e-01	0.460328	31.26	36.7109
rand-5-40-280-20.176.sdimacs	5.609951e-01	0.560995	33.51	48.4278
rand-5-40-280-20.177.sdimacs	5.560799e-01	0.55608	20.93	58.7655
rand-5-40-280-20.178.sdimacs	5.886688e-01	0.588669	18.15	65.8703
rand-5-40-280-20.179.sdimacs	5.426893e-01	0.542689	16.91	63.7582
rand-5-50-200-25.180.sdimacs	8.322828e-01	0.708982	39.27	,
rand-5-50-200-25.181.sdimacs	7.385364e-01		42.78	,
rand-5-50-200-25.182.sdimacs	8.612916e-01		66.57	,
rand-5-50-200-25.183.sdimacs	7.684618e-01		31.64	,
rand-5-50-200-25.184.sdimacs	7.089821e-01		76.37	779.378
rand-5-50-250-25.185.sdimacs	7.363752e-01		398.23	,
rand-5-50-250-25.186.sdimacs	7.975806e-01		633.09	,
rand-5-50-250-25.187.sdimacs	8.017651e-01		414.37	,
rand-5-50-250-25.188.sdimacs	7.545902e-01		196.33	,
rand-5-50-250-25.189.sdimacs			,	,
rand-5-50-300-25.190.sdimacs			,	,
rand-5-50-300-25.191.sdimacs			,	,
rand-5-50-300-25.192.sdimacs			,	,
rand-5-50-300-25.193.sdimacs			,	,
rand-5-50-300-25.194.sdimacs			,	,
rand-5-50-350-25.195.sdimacs			,	,
rand-5-50-350-25.196.sdimacs			,	,
rand-5-50-350-25.197.sdimacs			,	,
rand-5-50-350-25.198.sdimacs			,	,
rand-5-50-350-25.199.sdimacs			,	,
rand-6-10-50-5.100.sdimacs	1.000000e+00	1	0.00	0.000551939
rand-6-10-50-5.101.sdimacs	1.000000e+00	1	0.00	0.000577927
rand-6-10-50-5.102.sdimacs	1.000000e+00	1	0.00	0.000574112
rand-6-10-50-5.103.sdimacs	1.000000e+00	1	0.00	0.000399113
rand-6-10-50-5.104.sdimacs	1.000000e+00	1	0.00	0.000447989
rand-6-10-60-5.105.sdimacs	1.000000e+00	1	0.00	0.000581026
rand-6-10-60-5.106.sdimacs	1.000000e+00	1	0.00	0.000654936
rand-6-10-60-5.107.sdimacs	9.687500e-01	0.96875	0.01	0.000739098
rand-6-10-60-5.108.sdimacs	1.000000e+00	1	0.00	0.000440836
rand-6-10-60-5.109.sdimacs	1.000000e+00	1	0.00	0.000653982
rand-6-10-70-5.110.sdimacs	1.000000e+00	1	0.00	0.000554085
rand-6-10-70-5.111.sdimacs	1.000000e+00	1	0.00	0.00054121
rand-6-10-70-5.112.sdimacs	9.687500e-01	0.96875	0.01	0.00079298
rand-6-10-70-5.113.sdimacs	1.000000e+00	1	0.00	0.000554085
rand-6-10-70-5.114.sdimacs	1.000000e+00	1	0.00	0.00056386
rand-6-10-80-5.115.sdimacs	9.687500e-01	0.96875	0.01	0.000540972
rand-6-10-80-5.116.sdimacs	1.000000e+00	1	0.00	0.000717878
rand-6-10-80-5.117.sdimacs	1.000000e+00	1	0.00	0.000610113
rand-6-10-80-5.118.sdimacs	1.000000e+00	1	0.00	0.000687838
rand-6-10-80-5.119.sdimacs	9.687500e-01	0.96875	0.01	0.000723124
rand-6-20-100-10.120.sdimacs	9.765625e-01	0.976563	0.01	0.018724
rand-6-20-100-10.121.sdimacs	9.843750e-01	0.984375	0.01	0.024416
rand-6-20-100-10.122.sdimacs	9.804688e-01	0.980469	0.01	0.0217009
rand-6-20-100-10.123.sdimacs	9.824219e-01	0.982422	0.01	0.0225661
rand-6-20-100-10.124.sdimacs	1.000000e+00	1	0.00	0.017282
rand-6-20-120-10.125.sdimacs	9.990234e-01	0.999023	0.01	0.0330272
rand-6-20-120-10.126.sdimacs	9.960938e-01	0.996094	0.01	0.0333788
rand-6-20-120-10.127.sdimacs	9.990234e-01	0.999023	0.01	0.0318811
